"match_id","gameCreation","gameDuration","gameVersion"
"NA1_4061021824",1633306823000,2186119,"11.19.398.9466"
"NA1_4212767434",1644470268000,2093,"12.3.421.5967"
"NA1_4216481383",1644782373000,1409,"12.3.421.5967"
"NA1_4202567086",1643774112000,1819,"12.2.419.1399"
"NA1_4094205726",1636254545000,1647,"11.22.406.3587"
"NA1_4080280209",1635056851000,1272,"11.21.403.3002"
"NA1_4192105966",1643090041000,2128,"12.2.419.1399"
"NA1_4210235591",1644283469000,2016,"12.3.421.5967"
"NA1_4213266796",1644528918000,1981,"12.3.421.5967"
"NA1_4216366947",1644775014000,2642,"12.3.421.5967"
"NA1_4216576044",1644793158000,1714,"12.3.421.5967"
"NA1_4215622192",1644708225000,2917,"12.3.421.5967"
"NA1_4213705083",1644556038000,1276,"12.3.421.5967"
"NA1_4190521876",1642991585000,2500,"12.2.419.1399"
"NA1_4215964080",1644729850000,1559,"12.3.421.5967"
"NA1_4216621505",1644795436000,1384,"12.3.421.5967"
"NA1_4209366651",1644206682000,1281,"12.3.421.5967"
"NA1_4212841947",1644471909000,1367,"12.3.421.5967"
"NA1_4212448101",1644455232000,1949,"12.3.421.5967"
"NA1_4095312235",1636333810000,1847,"11.22.406.3587"
"NA1_4214611148",1644635264000,801,"12.3.421.5967"
"NA1_4214295882",1644618408000,1924,"12.3.421.5967"
"NA1_4216283211",1644764589000,1470,"12.3.421.5967"
"NA1_4213102852",1644512775000,2203,"12.3.421.5967"
"NA1_4206360440",1644020909000,2503,"12.3.421.5967"
"NA1_4216502965",1644787052000,1690,"12.3.421.5967"
"NA1_4216161346",1644741022000,1434,"12.3.421.5967"
"NA1_4211105570",1644360826000,1881,"12.3.421.5967"
"NA1_4213564133",1644547238000,2342,"12.3.421.5967"
"NA1_4163190776",1641243355000,1991,"11.24.414.4003"
"NA1_4216653234",1644796811000,1871,"12.3.421.5967"
"NA1_4216574708",1644792537000,195,"12.3.421.5967"
"NA1_4214610989",1644635231000,1734,"12.3.421.5967"
"NA1_4216554979",1644788551000,1946,"12.3.421.5967"
"NA1_4216521739",1644786907000,1965,"12.3.421.5967"
"NA1_4209217184",1644199297000,1969,"12.3.421.5967"
"NA1_4213172890",1644520142000,1140,"12.3.421.5967"
"NA1_4216076467",1644734689000,1257,"12.3.421.5967"
"NA1_4215068916",1644650691000,1559,"12.3.421.5967"
"NA1_4213206432",1644523012000,2229,"12.3.421.5967"
"NA1_4216626660",1644797982000,1669,"12.3.421.5967"
"NA1_4212857746",1644474158000,1828,"12.3.421.5967"
"NA1_4216102045",1644736555000,2141,"12.3.421.5967"
"NA1_4212944780",1644482870000,2388,"12.3.421.5967"
"NA1_4212836026",1644473290000,1537,"12.3.421.5967"
"NA1_4211271613",1644370623000,1444,"12.3.421.5967"
"NA1_4209550532",1644213634000,1987,"12.3.421.5967"
"NA1_4212795425",1644469752000,992,"12.3.421.5967"
"NA1_4216367572",1644775409000,937,"12.3.421.5967"
"NA1_4215283327",1644673282000,1841,"12.3.421.5967"
"NA1_4213237875",1644529161000,2082,"12.3.421.5967"
"NA1_4216425922",1644779764000,1572,"12.3.421.5967"
"NA1_4215351578",1644681929000,957,"12.3.421.5967"
"NA1_4207455041",1644100963000,1822,"12.3.421.5967"
"NA1_4216113372",1644737129000,1620,"12.3.421.5967"
"NA1_4215554350",1644704701000,2134,"12.3.421.5967"
"NA1_4212880183",1644474939000,2016,"12.3.421.5967"
"NA1_4216644604",1644797376000,1778,"12.3.421.5967"
"NA1_4214982338",1644644753000,2127,"12.3.421.5967"
"NA1_4213652959",1644552435000,2041,"12.3.421.5967"
"NA1_4215798240",1644722045000,1276,"12.3.421.5967"
"NA1_4203559358",1643829368000,951,"12.3.420.4308"
"NA1_4193460405",1643180907000,2486,"12.2.419.1399"
"NA1_4216179995",1644740350000,1776,"12.3.421.5967"
"NA1_4156042219",1640741038000,1923,"11.24.414.4003"
"NA1_4211516857",1644383799000,2324,"12.3.421.5967"
"NA1_4214895658",1644642935000,2068,"12.3.421.5967"
"NA1_4216483809",1644783439000,1445,"12.3.421.5967"
"NA1_4213789749",1644557811000,1626,"12.3.421.5967"
"NA1_4214353524",1644621715000,1887,"12.3.421.5967"
"NA1_4100193720",1636679026000,1658,"11.22.406.3587"
"NA1_4216438161",1644781039000,2577,"12.3.421.5967"
"NA1_4216581112",1644791029000,1569,"12.3.421.5967"
"NA1_4207704562",1644114196000,1825,"12.3.421.5967"
"NA1_4216052938",1644733156000,2153,"12.3.421.5967"
"NA1_4216628022",1644798648000,1726,"12.3.421.5967"
"NA1_4215114895",1644649462000,1461,"12.3.421.5967"
"NA1_4215901424",1644725929000,1788,"12.3.421.5967"
"NA1_4216055549",1644734067000,2613,"12.3.421.5967"
"NA1_4216565779",1644792712000,1471,"12.3.421.5967"
"NA1_4215926505",1644727722000,1528,"12.3.421.5967"
"NA1_4215815363",1644721137000,1713,"12.3.421.5967"
"NA1_4211448932",1644381342000,2001,"12.3.421.5967"
"NA1_4216565702",1644792645000,1232,"12.3.421.5967"
"NA1_4216663758",1644797099000,2789,"12.3.421.5967"
"NA1_4216035401",1644733922000,1660,"12.3.421.5967"
"NA1_4214987809",1644646558000,2331,"12.3.421.5967"
"NA1_4215916553",1644727826000,1891,"12.3.421.5967"
"NA1_4207450140",1644099160000,1862,"12.3.421.5967"
"NA1_4215689670",1644715674000,1463,"12.3.421.5967"
"NA1_4206033985",1644011222000,1536,"12.3.421.5967"
"NA1_4216544672",1644788238000,2494,"12.3.421.5967"
"NA1_4216592358",1644791579000,1370,"12.3.421.5967"
"NA1_4207891881",1644121301000,1654,"12.3.421.5967"
"NA1_4216383537",1644778057000,2590,"12.3.421.5967"
"NA1_4206918814",1644049051000,1278,"12.3.421.5967"
"NA1_4188920217",1642889216000,2729,"12.2.419.1399"
"NA1_4212636833",1644463986000,2182,"12.3.421.5967"
"NA1_4192770027",1643156667000,2628,"12.2.419.1399"
"NA1_4205101692",1643940361000,2152,"12.3.421.5967"
"NA1_4215991914",1644729503000,1837,"12.3.421.5967"
"NA1_4216381950",1644777243000,2288,"12.3.421.5967"
"NA1_4181697158",1642455091000,2002,"12.1.416.4011"
"NA1_4216632829",1644796580000,1713,"12.3.421.5967"
"NA1_4204081492",1643858152000,1881,"12.3.421.3734"
"NA1_4094330520",1636256834000,2005,"11.22.406.3587"
"NA1_4215543520",1644704024000,1125,"12.3.421.5967"
"NA1_4206416175",1644023091000,1263,"12.3.421.5967"
"NA1_4216641394",1644795847000,1328,"12.3.421.5967"
"NA1_4215925534",1644727452000,1190,"12.3.421.5967"
"NA1_4216650547",1644795498000,1765,"12.3.421.5967"
"NA1_4216483724",1644783428000,1808,"12.3.421.5967"
"NA1_4188116871",1642836745000,1961,"12.2.419.1399"
"NA1_4213256635",1644528819000,1570,"12.3.421.5967"
"NA1_4216202844",1644749915000,2463,"12.3.421.5967"
"NA1_4212824525",1644472734000,1250,"12.3.421.5967"
"NA1_4187483009",1642809681000,1232,"12.2.419.1399"
"NA1_4216465493",1644784096000,2016,"12.3.421.5967"
"NA1_4099989279",1636668505000,1408,"11.22.406.3587"
"NA1_4216573637",1644792063000,2266,"12.3.421.5967"
"NA1_4161462275",1641115734000,1982,"11.24.414.4003"
"NA1_4197472612",1643431398000,2333,"12.2.419.1399"
"NA1_4216645085",1644797658000,1401,"12.3.421.5967"
"NA1_4213840981",1644561881000,1588,"12.3.421.5967"
"NA1_4201558499",1643697420000,2470,"12.2.419.1399"
"NA1_4194580618",1643251991000,1606,"12.2.419.1399"
"NA1_4192853040",1643160887000,1490,"12.2.419.1399"
"NA1_4213811052",1644558310000,2142,"12.3.421.5967"
"NA1_4211059042",1644357886000,2070,"12.3.421.5967"
"NA1_4198905866",1643523142000,1827,"12.2.419.1399"
"NA1_4195593205",1643327775000,1327,"12.2.419.1399"
"NA1_4214164107",1644607491000,2403,"12.3.421.5967"
"NA1_4204172897",1643863422000,1586,"12.3.421.3734"
"NA1_4207397610",1644098266000,1417,"12.3.421.5967"
"NA1_4202989105",1643793797000,932,"12.2.419.1399"
"NA1_4196579130",1643400470000,1842,"12.2.419.1399"
"NA1_4213841517",1644562137000,1872,"12.3.421.5967"
"NA1_4210009897",1644269598000,1729,"12.3.421.5967"
"NA1_4203480898",1643817318000,2315,"12.3.420.4308"
"NA1_4216076033",1644734541000,1944,"12.3.421.5967"
"NA1_4216460401",1644781803000,1458,"12.3.421.5967"
"NA1_4216368352",1644775790000,2154,"12.3.421.5967"
"NA1_4215600255",1644707049000,2398,"12.3.421.5967"
"NA1_4216254318",1644753971000,1422,"12.3.421.5967"
"NA1_4216499043",1644786009000,1478,"12.3.421.5967"
"NA1_4216324191",1644772649000,1620,"12.3.421.5967"
"NA1_4216330955",1644770946000,1961,"12.3.421.5967"
"NA1_4213869412",1644566290000,1882,"12.3.421.5967"
"NA1_4214352919",1644621474000,1885,"12.3.421.5967"
"NA1_4215869926",1644722675000,2665,"12.3.421.5967"
"NA1_4213755551",1644556446000,2228,"12.3.421.5967"
"NA1_4216013274",1644730126000,1564,"12.3.421.5967"
"NA1_4216020964",1644732105000,1306,"12.3.421.5967"
"NA1_4206775137",1644038505000,1152,"12.3.421.5967"
"NA1_4216022148",1644732499000,1234,"12.3.421.5967"
"NA1_4213594047",1644549892000,1526,"12.3.421.5967"
"NA1_4216614856",1644792969000,1622,"12.3.421.5967"
"NA1_4216164677",1644743108000,1642,"12.3.421.5967"
"NA1_4214478456",1644631436000,1965,"12.3.421.5967"
"NA1_4216326929",1644774354000,1962,"12.3.421.5967"
"NA1_4215822947",1644720547000,1806,"12.3.421.5967"
"NA1_4214311503",1644620407000,2271,"12.3.421.5967"
"NA1_4215328225",1644686037000,2075,"12.3.421.5967"
"NA1_4213321960",1644531577000,1757,"12.3.421.5967"
"NA1_4213496702",1644545035000,1512,"12.3.421.5967"
"NA1_4215872323",1644723457000,1427,"12.3.421.5967"
"NA1_4213223630",1644526696000,1966,"12.3.421.5967"
"NA1_4214401133",1644624695000,1440,"12.3.421.5967"
"NA1_4214304668",1644621718000,2049,"12.3.421.5967"
"NA1_4216530790",1644786452000,2152,"12.3.421.5967"
"NA1_4215634306",1644709235000,1253,"12.3.421.5967"
"NA1_4216418832",1644781100000,1810,"12.3.421.5967"
"NA1_4216583093",1644791886000,1679,"12.3.421.5967"
"NA1_4216476256",1644784464000,1949,"12.3.421.5967"
"NA1_4216549758",1644786304000,1624,"12.3.421.5967"
"NA1_4216654583",1644797516000,1624,"12.3.421.5967"
"NA1_4216294125",1644765471000,1606,"12.3.421.5967"
"NA1_4211956947",1644421039000,1823,"12.3.421.5967"
"NA1_4207952917",1644124068000,1790,"12.3.421.5967"
"NA1_4212346036",1644446254000,1809,"12.3.421.5967"
"NA1_4216552214",1644787366000,2134,"12.3.421.5967"
"NA1_4216246657",1644756497000,1704,"12.3.421.5967"
"NA1_4215828159",1644722215000,1438,"12.3.421.5967"
"NA1_4216554407",1644788322000,969,"12.3.421.5967"
"NA1_4214431233",1644628425000,1569,"12.3.421.5967"
"NA1_4213901759",1644567515000,617,"12.3.421.5967"
"NA1_4216237288",1644757688000,1898,"12.3.421.5967"
"NA1_4214556604",1644634098000,1970,"12.3.421.5967"
"NA1_4216186533",1644744624000,1161,"12.3.421.5967"
"NA1_4210681454",1644306049000,1360,"12.3.421.5967"
"NA1_4216635884",1644798004000,1847,"12.3.421.5967"
"NA1_4215787179",1644721467000,1747,"12.3.421.5967"
"NA1_4216026186",1644733954000,2286,"12.3.421.5967"
"NA1_4216654577",1644797522000,2085,"12.3.421.5967"
"NA1_4210348622",1644289585000,1600,"12.3.421.5967"
"NA1_4211080730",1644358464000,1674,"12.3.421.5967"
"NA1_4213998452",1644586621000,1694,"12.3.421.5967"
"NA1_4214336171",1644622530000,2093,"12.3.421.5967"
"NA1_4215186395",1644662555000,1821,"12.3.421.5967"
"NA1_4216151451",1644740999000,1689,"12.3.421.5967"
"NA1_4216193982",1644743136000,1270,"12.3.421.5967"
"NA1_4216634935",1644797540000,1266,"12.3.421.5967"
